advertisement.publication_date,advertisement.complete,advertiser.name,enslaved_person.gender,enslaved_person_languages.does_speak,enslaver.fullname,enslaver.gender,enslaver.type,newspaper.name,runaway.ran_before,runaway.profess_freedom,runaway_enslavers.enslaver_status,runaway_reward.amount,newspaper_location.city,newspaper_location.state,enslaver_location.city,enslaver_location.state,advertisement.id,advertiser.id,newspaper.id,newspaper_location.id,runaway_event.id,runaway.id,enslaved_person.id,enslaved_person_languages.id,runaway_enslavers.id,enslaver.id,enslaver_location.id,runaway_reward.id
1829-12-19,true,"",FEMALE,"",Vance,OTHER,estate,Charleston Mercury,"","","",20,Charleston,US-SC,Charleston,US-SC,00009a54-8ed0-44a3-8983-7534c5001172,"",12d38785-dfdf-4dbc-a9c6-3ccb0e8d6448,0afd2704-9c29-4f31-9ffe-3627c61e7958,6bb670ae-7ec5-41e1-95b4-d4421015b17f,7c1d52e1-2b99-4372-a7c2-012430871cf1,664075ec-2c11-474e-b1ef-8ed120643658,"",dbe0cc3f-0898-4eaf-b702-8be2143d970a,577eef00-d0db-463d-8f5a-ca03282733f4,05a63752-e272-48f6-9050-72590c5d7ac9,30efbcb3-23c1-48f5-a349-c34daea5d1fb
1829-12-19,true,"",FEMALE,"",Vance,OTHER,estate,Charleston Mercury,"","","",10,Charleston,US-SC,Charleston,US-SC,00009a54-8ed0-44a3-8983-7534c5001172,"",12d38785-dfdf-4dbc-a9c6-3ccb0e8d6448,0afd2704-9c29-4f31-9ffe-3627c61e7958,6bb670ae-7ec5-41e1-95b4-d4421015b17f,7c1d52e1-2b99-4372-a7c2-012430871cf1,664075ec-2c11-474e-b1ef-8ed120643658,"",dbe0cc3f-0898-4eaf-b702-8be2143d970a,577eef00-d0db-463d-8f5a-ca03282733f4,05a63752-e272-48f6-9050-72590c5d7ac9,0d52b7d0-7bdd-48c6-acb0-ff3db30a16bb
1829-12-19,true,"",FEMALE,"",WM. H. Smith,MALE,current,Charleston Mercury,"","","",20,Charleston,US-SC,Charleston,US-SC,00009a54-8ed0-44a3-8983-7534c5001172,"",12d38785-dfdf-4dbc-a9c6-3ccb0e8d6448,0afd2704-9c29-4f31-9ffe-3627c61e7958,6bb670ae-7ec5-41e1-95b4-d4421015b17f,7c1d52e1-2b99-4372-a7c2-012430871cf1,664075ec-2c11-474e-b1ef-8ed120643658,"",d7796415-33de-4725-b41b-451b47ba7266,ea1637f3-cfd3-4aef-be71-3e090e8526e1,b7ef3786-2260-4cd1-afcf-14776d07af90,30efbcb3-23c1-48f5-a349-c34daea5d1fb
1829-12-19,true,"",FEMALE,"",WM. H. Smith,MALE,current,Charleston Mercury,"","","",10,Charleston,US-SC,Charleston,US-SC,00009a54-8ed0-44a3-8983-7534c5001172,"",12d38785-dfdf-4dbc-a9c6-3ccb0e8d6448,0afd2704-9c29-4f31-9ffe-3627c61e7958,6bb670ae-7ec5-41e1-95b4-d4421015b17f,7c1d52e1-2b99-4372-a7c2-012430871cf1,664075ec-2c11-474e-b1ef-8ed120643658,"",d7796415-33de-4725-b41b-451b47ba7266,ea1637f3-cfd3-4aef-be71-3e090e8526e1,b7ef3786-2260-4cd1-afcf-14776d07af90,0d52b7d0-7bdd-48c6-acb0-ff3db30a16bb
1830-01-02,true,"Wm. B. Roberts, Executor",MALE,"",Rev. Henry Holmes ,MALE,deceased,Edenton Gazette And North Carolina General Advertiser,"","","",15,Edenton,US-NC,"",US-NC,0001aa96-153e-49e9-9cc1-78ff29cad12f,be248ed4-c224-448a-9db2-23204e05392d,ce244760-13c7-4c98-bfc5-0b6b8cb454f4,dd33c07c-80c1-4d46-b25b-1daf33b57a79,f6f30219-bf53-4835-b90b-68d587aef3ef,cf69ceec-0b4b-4b5c-98bf-bffab1e488c1,bb232988-8487-470f-bc62-d12aa8665d8d,"",3f39bcb6-873e-41ed-b8a2-5546d2117e22,ecb5b127-f7f4-4e7c-88fd-b325524a6853,d3cbbc85-a3df-4c44-b689-71693643a223,375fc31d-c80b-4fe5-a95d-728c1a0f96bf
1803-01-20,true,"",MALE,true,GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",10,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,e96206be-3340-4104-b653-052797ae01ed,4d91fb18-3036-45ad-80ac-905b45504134,5b9f2107-abea-4894-a60d-cac4a2f66a9e,0aa4e1be-ea99-4474-96bb-a39b7f1359d9,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,fcc8dcce-1405-4193-ad15-1c1a2b5c3b97
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",10,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,f9dc7cd4-046a-400b-8ddd-8cfbaa741153,3324fe71-86af-4678-9024-227f61b9fa66,"",6ad3fdae-f6bf-4f55-b768-86900950f2f7,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,ed138ec1-2b8b-4aaf-b6a8-185eb05184c7
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",90,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,f9dc7cd4-046a-400b-8ddd-8cfbaa741153,3324fe71-86af-4678-9024-227f61b9fa66,"",6ad3fdae-f6bf-4f55-b768-86900950f2f7,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,372f6f18-7f5d-4d9f-a5f2-5effe8acbd22
1803-01-20,true,"",MALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",10,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,37c8ceca-97db-409d-9e3b-2ac5421d8d98,bd26e734-7072-4572-9850-e5523edac62a,"",28f776a6-ed1a-408d-af3c-3626b1596737,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,426c15ef-dfce-4bbb-afc9-8c13df13c7fa
1803-01-20,true,"",FEMALE,"",GEORGE C. CLITHERALL ,MALE,current,Wilmington Gazette,"","","",10,Wilmington,US-NC,Wilmington,US-NC,0003d58e-c9f1-4d1d-acb3-3f90207fcc76,"",f48bd220-415c-4861-a7ce-7ae5dc232a03,7797117f-9db2-48a0-b76e-05b59e0303a8,f0bc3605-fc3c-44d2-8d58-4e61b70b04a8,23ee3395-fca3-43fd-a97e-5284995c9b66,5a31c67b-f995-4671-9261-3070cba5fb98,"",00c63aaf-f24b-4031-a598-c9ce6baca953,85994a0a-51f2-442e-bffd-08a64e965a3f,7797117f-9db2-48a0-b76e-05b59e0303a8,3a08bcc7-2968-47ce-aad7-e3f29101628e
