,Country,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s),Longitude,Latitude
0,AFGHANISTAN,0.0,3.033333333333333,10.35,5.125,47.77500000000001,30.375,4918.5615,66.2385139,33.7680065
1,ALBANIA,2.0,4.075,7.76,20.8,24.16,7.7,232.8598,19.9999619,41.000028
2,ALGERIA,2.0,2.733333333333333,5.942857142857143,12.833333333333336,19.571428571428573,7.3428571428571425,3565.2131428571433,2.9999825,28.0000272
3,ANGOLA,1.0,2.4,6.933333333333333,2.55,42.63333333333333,23.600000000000005,3980.054,17.5691241,-11.8775768
4,ARGENTINA,2.0,0.2,2.1500000000000004,11.125,10.025,2.6,3613.65175,-64.9672817,-34.9964963
5,ARMENIA,2.0,1.6,3.94,13.62,16.119999999999994,3.4800000000000004,204.1452,44.6736646,40.7696272
6,AUSTRALIA,3.0,0.0,0.0,13.875,1.0,0.1,1443.0745,134.755,-24.7761086
7,AZERBAIJAN,2.0,2.575,5.433333333333334,9.183333333333334,21.816666666666666,8.083333333333334,740.5016666666667,47.7872508,40.3936294
8,BAHRAIN,3.0,,6.699999999999998,7.5,13.75,6.949999999999998,63.371,50.5344606,26.1551249
9,BANGLADESH,1.0,2.8136363636363644,14.5375,0.9625000000000002,54.22916666666666,46.26666666666666,15837.4275,90.2932426,24.4768783
10,BARBADOS,3.0,2.0,6.8,12.2,7.7,3.5,16.653,-59.5250305,13.1500331
11,BELARUS,2.0,0.6,2.2,9.7,4.5,1.3,445.676,27.6971358,53.4250605
12,BELIZE,2.0,0.8333333333333334,2.333333333333333,9.6,18.766666666666666,5.300000000000002,36.1045,-88.7600927,16.8259793
13,BENIN,0.0,2.425,7.7,2.275,35.375,20.125,1476.52575,2.2584408,9.5293472
14,BHUTAN,1.0,1.4,4.525,5.1,44.25,17.8,74.79675,90.5119273,27.549511
15,BOLIVIA (PLURINATIONAL STATE OF),1.0,0.7000000000000001,1.9,8.6,29.728571428571424,7.472727272727273,1104.222181818182,-64.9912286,-17.0568696
16,BOSNIA AND HERZEGOVINA,2.0,2.2,4.566666666666666,19.8,10.933333333333332,2.466666666666667,194.15666666666667,17.5961467,44.3053476
17,BOTSWANA,2.0,2.85,8.8,10.05,31.03333333333333,12.666666666666664,226.70900000000003,24.5928742,-23.1681782
18,BRAZIL,2.0,0.7,2.3,6.25,13.133333333333333,3.925,17071.496,-53.2,-10.3333333
19,BRUNEI DARUSSALAM,3.0,0.4,2.9,8.3,19.7,9.6,31.337,114.5653908,4.4137155
20,BULGARIA,2.0,1.5333333333333332,4.666666666666667,9.0,7.466666666666666,2.0,344.03733333333327,25.4856617,42.6073975
21,BURKINA FASO,0.0,4.1692307692307695,12.730769230769232,2.2500000000000004,33.346153846153854,25.076923076923073,2796.190615384616,-1.6880314,12.0753083
22,BURUNDI,0.0,1.2600000000000002,6.666666666666668,1.775,57.6,32.25,1497.888,29.8870575,-3.3634357
23,CABO VERDE,1.0,,5.550000000000002,,24.1,12.75,60.583,-24.0083947,16.0000552
24,CAMBODIA,1.0,3.483333333333334,11.466666666666667,3.033333333333333,43.68333333333333,31.98333333333333,1651.662166666667,104.869423,13.5066394
25,CAMEROON,1.0,1.8142857142857145,5.671428571428571,8.042857142857143,33.74285714285714,14.685714285714285,3170.714285714286,13.1535811,4.6125522
26,CANADA,3.0,,,10.4,,,1697.6029999999996,-107.9917071,61.0666922
27,CENTRAL AFRICAN REPUBLIC (THE),0.0,3.16,8.766666666666667,5.380000000000001,41.78333333333333,23.36666666666667,673.2005,19.9981227,7.0323598
28,CHAD,0.0,5.5,15.239999999999998,3.0400000000000005,41.26000000000001,31.4,2024.2904000000005,19.0156172,15.6134137
29,CHILE,3.0,,0.4666666666666667,11.313333333333334,3.453333333333333,0.7466666666666666,1303.0801333333334,-71.3187697,-31.7613365
30,CHINA,2.0,0.9199999999999996,3.1749999999999994,7.027272727272727,20.6,7.900000000000001,97488.13341666663,104.999927,35.000074
31,COLOMBIA,2.0,0.3666666666666667,1.657142857142857,4.783333333333333,18.214285714285715,5.8571428571428585,4111.355285714286,-73.783892,2.8894434
32,COMOROS (THE),1.0,5.4,10.125,12.466666666666667,39.125,19.575,90.28775,44.2832964,-12.2045176
33,CONGO (THE),1.0,2.4333333333333336,7.2,4.875,26.725,13.099999999999998,614.63825,15.6419155,-0.7264327
34,COSTA RICA,2.0,,1.7,8.8,6.9,2.2375000000000003,408.972125,-84.0739102,10.2735633
35,COTE D'IVOIRE,1.0,2.6,8.8,4.3,31.385714285714283,17.67142857142857,2943.459428571429,-5.5679458,7.9897371
36,CUBA,2.0,,2.4,,7.0,3.4,750.4730000000002,-80.8328748,23.0131338
37,CZECHIA,3.0,1.0,3.7,5.550000000000002,2.9000000000000004,1.5,543.6065000000001,15.4749544,49.8167003
38,DEMOCRATIC PEOPLE'S REP. OF KOREA (THE),0.0,1.275,8.842857142857143,1.0666666666666669,40.3,23.12857142857143,1862.4604285714286,,
39,DEMOCRATIC REP. OF THE CONGO (THE),0.0,4.15,10.86,5.75,45.46,26.84,10621.0802,,
40,DJIBOUTI,1.0,9.4,17.075,8.25,30.075000000000006,22.625,99.44525,42.8453061,11.8145966
41,DOMINICAN REPUBLIC (THE),2.0,0.7428571428571429,2.2125,6.7,12.749999999999998,5.1625,990.9735,-70.3028026,19.0974031
42,ECUADOR,2.0,0.58,2.183333333333333,5.7200000000000015,28.75,8.316666666666666,1530.0248333333332,-79.3666965,-1.3397668
43,EGYPT,1.0,2.4875000000000003,5.79,13.7625,28.5,8.639999999999999,8911.539818181818,29.2675469,26.2540493
44,EL SALVADOR,1.0,0.43333333333333335,1.7,4.75,26.600000000000005,7.7666666666666675,696.23,-88.9140683,13.8000382
45,EQUATORIAL GUINEA,2.0,2.425,4.775,8.85,35.65,11.425,115.3865,10.5170357,1.613172
46,ERITREA,0.0,4.633333333333333,14.6,1.6666666666666667,53.225,37.55,407.6545,37.9999668,15.9500319
47,ESWATINI,1.0,0.5999999999999999,1.7,11.425,32.5,6.819999999999999,148.2304,31.3991317,-26.5624806
48,ETHIOPIA,0.0,3.016666666666666,9.957142857142856,2.75,47.84285714285714,31.057142857142853,13942.345571428572,38.6521203,10.2116702
49,FIJI,2.0,2.0,8.05,3.65,5.9,6.1,94.238,179.0122737,-18.1239696
50,GABON,2.0,1.4,3.8,6.6,21.45,7.7,219.3365,11.6899699,-0.8999695
51,GAMBIA (THE),0.0,2.085714285714286,8.385714285714286,2.228571428571428,23.7,16.300000000000004,317.164625,-15.4900464,13.470062
52,GEORGIA,2.0,0.8500000000000001,2.5666666666666664,19.53333333333333,14.0,2.0666666666666664,252.58,-83.1137366,32.3293809
53,GERMANY,3.0,0.1,0.65,3.35,1.5,0.8,3641.69,10.4234469,51.0834196
54,GHANA,1.0,2.0111111111111106,7.622222222222222,2.8222222222222224,29.477777777777785,17.244444444444444,3299.961888888889,-1.0800271,8.0300284
55,GUATEMALA,2.0,0.8571428571428571,2.2857142857142856,5.4,54.1,19.05714285714285,1849.8642857142856,-89.8988087,15.6356088
56,GUINEA,0.0,3.2428571428571433,9.425,4.333333333333333,34.2375,19.262500000000006,1712.441125,-10.7083587,10.7226226
57,GUINEA-BISSAU,0.0,2.9250000000000003,8.125,6.75,35.275,18.05,243.32675,-14.9000214,12.100035
58,GUYANA,2.0,2.45,9.12,5.24,15.279999999999998,11.383333333333335,87.14283333333334,-58.6416891,4.8417097
59,HAITI,0.0,1.98,6.616666666666667,3.66,29.91666666666667,16.9,1216.8086666666666,-72.3570972,19.1399952
60,HONDURAS,1.0,0.275,1.828571428571429,3.9,36.857142857142854,13.785714285714285,963.0245714285713,-86.0755145,15.2572432
61,INDIA,1.0,6.116666666666667,18.766666666666666,2.9333333333333336,49.055555555555564,42.977777777777774,123014.491,78.6677428,22.3511148
62,INDONESIA,1.0,4.171428571428572,11.375,7.199999999999998,38.3625,24.3625,22286.513875,117.8902853,-2.4833826
63,IRAN (ISLAMIC REPUBLIC OF),2.0,1.4,5.75,6.2,14.675,8.0,6392.826999999998,54.5643516,32.6475314
64,IRAQ,2.0,2.175,5.542857142857144,9.5,24.514285714285712,8.500000000000002,4213.459714285715,44.1749775,33.0955793
65,JAMAICA,2.0,0.9210526315789472,3.3950000000000005,5.9947368421052625,8.680000000000001,3.955000000000001,272.90005,-77.1598454610168,18.1152958
