profileNum,ageEstimate,companyName,connectionsCount,country,endDate,followable,followersCount,genderEstimate,hasPicture,isPremium,posLocation,posTitle,startDate,posDuration
5.0,30.0,Optus,500.0,au,2016-12-01,1.0,951.0,female,RTMZ0-46bTjK4V_MGFDG6i5g0yZmFp5oS0S9liWvpWg.jpg,0.0,"Sydney, Australia","Digital and Social Engagement Leader, Optus Business",2016-01-01,11.006386168093801
7.0,30.0,IBM,500.0,au,2014-10-01,1.0,951.0,female,RTMZ0-46bTjK4V_MGFDG6i5g0yZmFp5oS0S9liWvpWg.jpg,0.0,Australia,Brand Strategist,2013-06-01,16.000328548840837
8.0,30.0,IBM,500.0,au,2013-06-01,1.0,951.0,female,RTMZ0-46bTjK4V_MGFDG6i5g0yZmFp5oS0S9liWvpWg.jpg,0.0,Australia,Brand Expression Lead,2012-09-01,8.969383354894351
13.0,33.0,Hilton Hotels & Resorts,500.0,au,2008-11-01,1.0,886.0,male,7a3eae50-615b-4f5e-bb27-3a5d7fe81acd-3.jpg,1.0,"Adelaide, Australia",Banquet Team Leader,2005-09-01,38.01310088502844
14.0,33.0,Adelaide Convention Centre,500.0,au,2005-09-01,1.0,886.0,male,7a3eae50-615b-4f5e-bb27-3a5d7fe81acd-3.jpg,1.0,"Adelaide, Australia",F&B Attendant,2005-07-01,2.0370028131994498
26.0,42.0,Reserve Bank of Australia,500.0,au,2016-12-01,1.0,15286.0,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0.0,"Sydney, Australia",Talent Management Lead,2014-01-01,34.99045154931313
28.0,42.0,Orica,500.0,au,2013-12-01,1.0,15286.0,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0.0,53 Countries,Global Talent Management Lead,2012-01-01,22.998418858703463
29.0,42.0,SAP Ariba,500.0,au,2012-12-01,1.0,15286.0,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0.0,Australia,APAC Talent Management Lead,2012-01-01,11.006386168093801
31.0,42.0,NetApp,500.0,au,2011-12-01,1.0,15286.0,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0.0,"Brussels Area, Belgium",EMEA Talent Lead,2010-01-01,22.965563974619602
32.0,42.0,Nestlé,500.0,au,2010-12-01,1.0,15286.0,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0.0,"Lausanne Area, Switzerland",Talent Services Lead,2009-01-01,22.965563974619602
34.0,42.0,Ciber Global,500.0,au,2009-12-01,1.0,15286.0,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0.0,"Eindhoven Area, Netherlands",EMEA Talent Lead,2008-01-01,22.998418858703463
35.0,42.0,GSK,500.0,au,2008-12-01,1.0,15286.0,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0.0,"London, United Kingdom",UK Talent Lead,2007-01-01,22.998418858703463
37.0,42.0,HCL AXON,500.0,au,2006-12-01,1.0,15286.0,male,AAEAAQAAAAAAAArfAAAAJDMzMWFlMzkxLTJhMmQtNGMyOS04ODBiLWVhNzQ1N2U1ZWE3ZQ.jpg,0.0,"London, United Kingdom",Key Account Manager,2005-01-01,22.965563974619602
